Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784007474201,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,50,0,0,0,0,0,0,0,3.6413369178771973,8589934592,2147483648,6205276160,400687104
201,1784007474201,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,0,0,0,0,0,0,0,0,3.6413369178771973,8589934592,2147483648,6205276160,400687104
199,1784007474403,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,18.18181800842285,14.285715103149414,9.523809432983398,0,0,0,0,0,3.6413369178771973,8589934592,2147483648,6205276160,400687104
201,1784007474604,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,10.526315689086914,10,0,5,9.523809432983398,9.523809432983398,0,0,5.156998634338379,8589934592,2147483648,6205276160,400687104
204,1784007474805,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,10,5.263157844543457,5,4.761904716491699,15.000000953674316,15.000000953674316,5,5,5.156998634338379,8589934592,2147483648,6205276160,400687104
201,1784007475010,4056,4056,4056,4056,4056,4056,4056,4056,44.968231201171875,45.01799011230469,45.26313781738281,45.16344451904297,44.919403076171875,44.94075012207031,44.84053039550781,45.396148681640625,45.322731018066406,45.163421630859375,45.362091064453125,45.399322509765625,44.86219024658203,45.08641052246094,25,14.285715103149414,9.523809432983398,5,5,20,5,0,5.156998634338379,8589934592,2147483648,6351798272,400687104
201,1784007475212,4056,4056,4056,4056,4056,4056,4056,4056,45.09838104248047,45.167091369628906,45.43751525878906,45.31328582763672,45.06462097167969,45.10057830810547,45.12207794189453,45.588836669921875,45.49462127685547,45.438255310058594,45.61750793457031,45.578468322753906,44.93309020996094,45.26795196533203,30.000001907348633,21.052631378173828,14.285715103149414,9.523809432983398,4.761904716491699,0,0,0,5.156998634338379,8589934592,2147483648,6344409088,400687104
203,1784007475415,4056,4056,4056,4056,4056,4056,4056,4056,45.09838104248047,45.167091369628906,45.43751525878906,45.31328582763672,45.06462097167969,45.10057830810547,45.12207794189453,45.588836669921875,45.49462127685547,45.438255310058594,45.61750793457031,45.578468322753906,44.93309020996094,45.26795196533203,30.000001907348633,23.809524536132813,5.263157844543457,5,0,0,0,0,5.156998634338379,8589934592,2147483648,6344818688,400687104
204,1784007475619,4056,4056,4056,4056,4056,4056,4056,4056,45.09838104248047,45.167091369628906,45.43751525878906,45.31328582763672,45.06462097167969,45.10057830810547,45.12207794189453,45.588836669921875,45.49462127685547,45.438255310058594,45.61750793457031,45.578468322753906,44.93309020996094,45.26795196533203,45,45,38.095237731933594,28.571430206298828,0,0,0,4.761904716491699,4.0324225425720215,8589934592,2147483648,6347341824,400687104
204,1784007475824,4056,4056,4056,4056,4056,4056,4056,4056,45.09838104248047,45.167091369628906,45.43751525878906,45.31328582763672,45.06462097167969,45.10057830810547,45.12207794189453,45.588836669921875,45.49462127685547,45.438255310058594,45.61750793457031,45.578468322753906,44.93309020996094,45.26795196533203,65,57.142860412597656,50,52.6315803527832,26.3157901763916,30.000001907348633,28.571430206298828,20,4.0324225425720215,8589934592,2147483648,6433030144,400687104
