Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784005426767,4056,4056,4056,4056,4056,4056,4056,4056,56.53509521484375,56.643959045410156,56.452857971191406,56.44164276123047,56.125396728515625,56.367469787597656,56.048309326171875,56.281822204589844,56.291900634765625,56.356414794921875,56.51823425292969,56.56321716308594,56.15740203857422,56.167083740234375,66.66667175292969,50,0,0,0,0,0,0,3.8731062412261963,8589934592,2147483648,6420168704,394395648
203,1784005426767,4056,4056,4056,4056,4056,4056,4056,4056,56.53509521484375,56.643959045410156,56.452857971191406,56.44164276123047,56.125396728515625,56.367469787597656,56.048309326171875,56.281822204589844,56.291900634765625,56.356414794921875,56.51823425292969,56.56321716308594,56.15740203857422,56.167083740234375,0,50,0,0,0,0,0,0,3.8731062412261963,8589934592,2147483648,6421020672,394395648
200,1784005426971,4056,4056,4056,4056,4056,4056,4056,4056,56.53509521484375,56.643959045410156,56.452857971191406,56.44164276123047,56.125396728515625,56.367469787597656,56.048309326171875,56.281822204589844,56.291900634765625,56.356414794921875,56.51823425292969,56.56321716308594,56.15740203857422,56.167083740234375,25,20,9.523809432983398,0,10,10,0,9.523809432983398,3.8731062412261963,8589934592,2147483648,6516064256,394395648
204,1784005427172,4056,4056,4056,4056,4056,4056,4056,4056,56.868797302246094,56.93358612060547,56.513099670410156,56.525901794433594,56.12629699707031,56.390655517578125,56.58992004394531,56.832916259765625,56.75141143798828,56.75086212158203,56.857269287109375,56.87139892578125,56.26238250732422,56.2747802734375,19.047618865966797,10,0,0,15.000000953674316,9.523809432983398,4.761904716491699,0,3.8731062412261963,8589934592,2147483648,6514950144,394395648
204,1784005427377,4056,4056,4056,4056,4056,4056,4056,4056,56.868797302246094,56.93358612060547,56.513099670410156,56.525901794433594,56.12629699707031,56.390655517578125,56.58992004394531,56.832916259765625,56.75141143798828,56.75086212158203,56.857269287109375,56.87139892578125,56.26238250732422,56.2747802734375,15.789472579956055,10.526315689086914,9.090909004211426,9.523809432983398,0,10,0,0,3.8731062412261963,8589934592,2147483648,6514950144,394395648
204,1784005427582,4056,4056,4056,4056,4056,4056,4056,4056,56.868797302246094,56.93358612060547,56.513099670410156,56.525901794433594,56.12629699707031,56.390655517578125,56.58992004394531,56.832916259765625,56.75141143798828,56.75086212158203,56.857269287109375,56.87139892578125,56.26238250732422,56.2747802734375,14.285715103149414,9.523809432983398,0,0,9.523809432983398,9.523809432983398,4.761904716491699,0,3.9085443019866943,8589934592,2147483648,6488965120,394395648
202,1784005427787,4056,4056,4056,4056,4056,4056,4056,4056,56.868797302246094,56.93358612060547,56.513099670410156,56.525901794433594,56.12629699707031,56.390655517578125,56.58992004394531,56.832916259765625,56.75141143798828,56.75086212158203,56.857269287109375,56.87139892578125,56.26238250732422,56.2747802734375,33.333335876464844,20,5.263157844543457,9.523809432983398,0,0,0,0,3.9085443019866943,8589934592,2147483648,6484344832,394395648
204,1784005427990,4056,4056,4056,4056,4056,4056,4056,4056,56.868797302246094,56.93358612060547,56.513099670410156,56.525901794433594,56.12629699707031,56.390655517578125,56.58992004394531,56.832916259765625,56.75141143798828,56.75086212158203,56.857269287109375,56.87139892578125,56.26238250732422,56.2747802734375,55,47.619049072265625,45.45454788208008,38.095237731933594,19.047618865966797,20,15.000000953674316,19.047618865966797,3.9085443019866943,8589934592,2147483648,6562529280,394395648
204,1784005428195,4056,4056,4056,4056,4056,4056,4056,4056,56.860260009765625,56.97462463378906,56.77599334716797,56.803253173828125,56.40778350830078,56.66931915283203,56.541831970214844,56.791526794433594,56.74455261230469,56.8375244140625,56.962867736816406,56.9410400390625,56.548545837402344,56.57935333251953,40,45,31.57894515991211,35,10.526315689086914,14.285715103149414,14.285715103149414,14.285715103149414,3.9085443019866943,8589934592,2147483648,6555107328,394395648
202,1784005428400,4056,4056,4056,4056,4056,4056,4056,4056,56.860260009765625,56.97462463378906,56.77599334716797,56.803253173828125,56.40778350830078,56.66931915283203,56.541831970214844,56.791526794433594,56.74455261230469,56.8375244140625,56.962867736816406,56.9410400390625,56.548545837402344,56.57935333251953,10.526315689086914,10,9.523809432983398,5,9.523809432983398,5,0,0,3.9085443019866943,8589934592,2147483648,6552993792,394395648
