Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784009497420,4056,4056,4056,4056,4056,4056,4056,4056,77.45475006103516,77.36115264892578,80.26665496826172,81.32755279541016,79.84644317626953,80.88874816894531,79.15968322753906,79.65553283691406,78.27873229980469,78.71562957763672,78.87804412841797,77.44475555419922,82.04930114746094,82.77965545654297,0,33.333335876464844,0,0,NaN,0,100,100,14.609172821044922,8589934592,2147483648,6067535872,392298496
201,1784009497420,4056,4056,4056,4056,4056,4056,4056,4056,77.45475006103516,77.36115264892578,80.26665496826172,81.32755279541016,79.84644317626953,80.88874816894531,79.15968322753906,79.65553283691406,78.27873229980469,78.71562957763672,78.87804412841797,77.44475555419922,82.04930114746094,82.77965545654297,50,100,0,NaN,0,0,100,100,14.609172821044922,8589934592,2147483648,6074286080,392298496
204,1784009497621,4056,4056,4056,4056,4056,4056,4056,4056,77.45475006103516,77.36115264892578,80.26665496826172,81.32755279541016,79.84644317626953,80.88874816894531,79.15968322753906,79.65553283691406,78.27873229980469,78.71562957763672,78.87804412841797,77.44475555419922,82.04930114746094,82.77965545654297,26.3157901763916,20,15.000000953674316,5,66.66667175292969,15.000000953674316,52.38095474243164,90,14.225354194641113,8589934592,2147483648,6058934272,392298496
202,1784009497826,4056,4056,4056,4056,4056,4056,4056,4056,77.45475006103516,77.36115264892578,80.26665496826172,81.32755279541016,79.84644317626953,80.88874816894531,79.15968322753906,79.65553283691406,78.27873229980469,78.71562957763672,78.87804412841797,77.44475555419922,82.04930114746094,82.77965545654297,35,25,20,14.285715103149414,70,42.85714340209961,75,60.000003814697266,14.225354194641113,8589934592,2147483648,6058934272,392298496
200,1784009498029,4056,4056,4056,4056,4056,4056,4056,4056,77.45475006103516,77.36115264892578,80.26665496826172,81.32755279541016,79.84644317626953,80.88874816894531,79.15968322753906,79.65553283691406,78.27873229980469,78.71562957763672,78.87804412841797,77.44475555419922,82.04930114746094,82.77965545654297,40,20,25,10,80,75,70,38.095237731933594,14.225354194641113,8589934592,2147483648,6058934272,392298496
197,1784009498233,4056,4056,4056,4056,4056,4056,4056,4056,78.12056732177734,77.15609741210938,79.26394653320313,81.64366912841797,78.8991470336914,81.27133178710938,80.49433135986328,81.24681091308594,79.16289520263672,78.20913696289063,78.17637634277344,77.34135437011719,81.00465393066406,81.60179901123047,35,26.3157901763916,25,10.526315689086914,71.42857360839844,55,75,65,14.225354194641113,8589934592,2147483648,5958467584,392298496
201,1784009498433,4056,4056,4056,4056,4056,4056,4056,4056,78.12056732177734,77.15609741210938,79.26394653320313,81.64366912841797,78.8991470336914,81.27133178710938,80.49433135986328,81.24681091308594,79.16289520263672,78.20913696289063,78.17637634277344,77.34135437011719,81.00465393066406,81.60179901123047,36.842105865478516,35,25,19.047618865966797,84.21052551269531,55,65,68.42105102539063,14.225354194641113,8589934592,2147483648,5952716800,392298496
199,1784009498636,4056,4056,4056,4056,4056,4056,4056,4056,78.12056732177734,77.15609741210938,79.26394653320313,81.64366912841797,78.8991470336914,81.27133178710938,80.49433135986328,81.24681091308594,79.16289520263672,78.20913696289063,78.17637634277344,77.34135437011719,81.00465393066406,81.60179901123047,45,31.57894515991211,35,25,76.19047546386719,80.95238494873047,75,65,18.09980583190918,8589934592,2147483648,5978439680,392298496
204,1784009498836,4056,4056,4056,4056,4056,4056,4056,4056,78.12056732177734,77.15609741210938,79.26394653320313,81.64366912841797,78.8991470336914,81.27133178710938,80.49433135986328,81.24681091308594,79.16289520263672,78.20913696289063,78.17637634277344,77.34135437011719,81.00465393066406,81.60179901123047,45,40,21.052631378173828,15.000000953674316,73.68421173095703,63.15789031982422,75,61.904762268066406,18.09980583190918,8589934592,2147483648,5962596352,392298496
200,1784009499041,4056,4056,4056,4056,4056,4056,4056,4056,78.12056732177734,77.15609741210938,79.26394653320313,81.64366912841797,78.8991470336914,81.27133178710938,80.49433135986328,81.24681091308594,79.16289520263672,78.20913696289063,78.17637634277344,77.34135437011719,81.00465393066406,81.60179901123047,45,35,25,15.000000953674316,75,66.66667175292969,60.000003814697266,50,18.09980583190918,8589934592,2147483648,5962596352,392298496
