Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1783949158058,4056,4056,4056,4056,4056,4056,4056,4056,52.212059020996094,52.21416473388672,51.97528076171875,52.6571044921875,52.22528839111328,52.439674377441406,52.19348907470703,52.53889465332031,52.30670166015625,52.298492431640625,52.56336212158203,52.349952697753906,52.207298278808594,52.51249694824219,50,50,50,33.333335876464844,0,0,0,0,3.155106544494629,8589934592,1073741824,5491851264,236847104
202,1783949158058,4056,4056,4056,4056,4056,4056,4056,4056,52.212059020996094,52.21416473388672,51.97528076171875,52.6571044921875,52.22528839111328,52.439674377441406,52.19348907470703,52.53889465332031,52.30670166015625,52.298492431640625,52.56336212158203,52.349952697753906,52.207298278808594,52.51249694824219,NaN,50,0,0,0,0,0,0,3.155106544494629,8589934592,1073741824,5492457472,236847104
204,1783949158261,4056,4056,4056,4056,4056,4056,4056,4056,52.212059020996094,52.21416473388672,51.97528076171875,52.6571044921875,52.22528839111328,52.439674377441406,52.19348907470703,52.53889465332031,52.30670166015625,52.298492431640625,52.56336212158203,52.349952697753906,52.207298278808594,52.51249694824219,42.85714340209961,31.57894515991211,23.809524536132813,23.809524536132813,0,0,0,0,3.158447265625,8589934592,1073741824,5493030912,236847104
204,1783949158467,4056,4056,4056,4056,4056,4056,4056,4056,52.212059020996094,52.21416473388672,51.97528076171875,52.6571044921875,52.22528839111328,52.439674377441406,52.19348907470703,52.53889465332031,52.30670166015625,52.298492431640625,52.56336212158203,52.349952697753906,52.207298278808594,52.51249694824219,35,25,20,10,0,0,0,0,3.158447265625,8589934592,1073741824,5493293056,236847104
200,1783949158672,4056,4056,4056,4056,4056,4056,4056,4056,52.212059020996094,52.21416473388672,51.97528076171875,52.6571044921875,52.22528839111328,52.439674377441406,52.19348907470703,52.53889465332031,52.30670166015625,52.298492431640625,52.56336212158203,52.349952697753906,52.207298278808594,52.51249694824219,31.57894515991211,20,15.000000953674316,5.263157844543457,0,0,0,0,3.158447265625,8589934592,1073741824,5493129216,236847104
199,1783949158873,4056,4056,4056,4056,4056,4056,4056,4056,51.90947723388672,51.768646240234375,51.339149475097656,51.89112854003906,51.72320556640625,51.71917724609375,51.81950378417969,52.14337158203125,51.921783447265625,51.799537658691406,52.009422302246094,51.92771911621094,51.581993103027344,51.8609619140625,42.85714340209961,38.095237731933594,30.000001907348633,19.047618865966797,15.000000953674316,10.526315689086914,9.523809432983398,14.285715103149414,3.158447265625,8589934592,1073741824,5603999744,236847104
204,1783949159073,4056,4056,4056,4056,4056,4056,4056,4056,51.90947723388672,51.768646240234375,51.339149475097656,51.89112854003906,51.72320556640625,51.71917724609375,51.81950378417969,52.14337158203125,51.921783447265625,51.799537658691406,52.009422302246094,51.92771911621094,51.581993103027344,51.8609619140625,52.6315803527832,31.57894515991211,26.3157901763916,25,15.000000953674316,9.523809432983398,20,5,3.158447265625,8589934592,1073741824,5856378880,236847104
204,1783949159278,4056,4056,4056,4056,4056,4056,4056,4056,51.90947723388672,51.768646240234375,51.339149475097656,51.89112854003906,51.72320556640625,51.71917724609375,51.81950378417969,52.14337158203125,51.921783447265625,51.799537658691406,52.009422302246094,51.92771911621094,51.581993103027344,51.8609619140625,50,38.095237731933594,28.571430206298828,20,19.047618865966797,0,10,5,3.928217649459839,8589934592,1073741824,5856378880,236847104
202,1783949159483,4056,4056,4056,4056,4056,4056,4056,4056,51.90947723388672,51.768646240234375,51.339149475097656,51.89112854003906,51.72320556640625,51.71917724609375,51.81950378417969,52.14337158203125,51.921783447265625,51.799537658691406,52.009422302246094,51.92771911621094,51.581993103027344,51.8609619140625,55,45,40,25,10,10,9.523809432983398,0,3.928217649459839,8589934592,1073741824,5856378880,236847104
203,1783949159686,4056,4056,4056,4056,4056,4056,4056,4056,52.959083557128906,52.77134704589844,53.03080749511719,52.892127990722656,53.007301330566406,52.82835388183594,53.09718322753906,53.49114990234375,53.06792449951172,52.86327362060547,52.964820861816406,52.98938751220703,52.972564697265625,53.48883819580078,61.904762268066406,47.36842346191406,40,38.095237731933594,15.000000953674316,15.000000953674316,5,9.523809432983398,3.928217649459839,8589934592,1073741824,5830082560,236847104
