Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784022484647,4056,4056,4056,4056,4056,4056,4056,4056,46.5345458984375,46.540550231933594,46.842376708984375,47.10633850097656,46.68299865722656,47.130027770996094,46.48175048828125,47.19615936279297,46.857276916503906,46.86937713623047,47.047325134277344,47.167442321777344,46.45600128173828,46.99017333984375,50,0,0,0,0,0,0,0,2.8386340141296387,8589934592,2147483648,6310412288,526188544
203,1784022484647,4056,4056,4056,4056,4056,4056,4056,4056,46.5345458984375,46.540550231933594,46.842376708984375,47.10633850097656,46.68299865722656,47.130027770996094,46.48175048828125,47.19615936279297,46.857276916503906,46.86937713623047,47.047325134277344,47.167442321777344,46.45600128173828,46.99017333984375,NaN,0,0,0,0,0,0,0,2.8386340141296387,8589934592,2147483648,6310412288,526188544
200,1784022484851,4056,4056,4056,4056,4056,4056,4056,4056,46.74559020996094,46.759010314941406,46.91851043701172,47.07307434082031,46.770355224609375,47.07463836669922,46.761695861816406,47.398216247558594,47.042694091796875,47.05938720703125,47.23536682128906,47.331336975097656,46.55119323730469,47.07599639892578,10,5,0,4.545454502105713,0,0,0,0,2.8386340141296387,8589934592,2147483648,6310412288,526188544
199,1784022485053,4056,4056,4056,4056,4056,4056,4056,4056,46.74559020996094,46.759010314941406,46.91851043701172,47.07307434082031,46.770355224609375,47.07463836669922,46.761695861816406,47.398216247558594,47.042694091796875,47.05938720703125,47.23536682128906,47.331336975097656,46.55119323730469,47.07599639892578,28.571430206298828,10,15.000000953674316,5.263157844543457,0,0,0,0,2.8386340141296387,8589934592,2147483648,6310412288,526188544
203,1784022485253,4056,4056,4056,4056,4056,4056,4056,4056,46.74559020996094,46.759010314941406,46.91851043701172,47.07307434082031,46.770355224609375,47.07463836669922,46.761695861816406,47.398216247558594,47.042694091796875,47.05938720703125,47.23536682128906,47.331336975097656,46.55119323730469,47.07599639892578,11.111111640930176,20,10,0,0,0,0,0,3.1760566234588623,8589934592,2147483648,6310412288,526188544
203,1784022485456,4056,4056,4056,4056,4056,4056,4056,4056,46.74559020996094,46.759010314941406,46.91851043701172,47.07307434082031,46.770355224609375,47.07463836669922,46.761695861816406,47.398216247558594,47.042694091796875,47.05938720703125,47.23536682128906,47.331336975097656,46.55119323730469,47.07599639892578,42.85714340209961,40,33.333335876464844,28.571430206298828,0,0,0,0,3.1760566234588623,8589934592,2147483648,6318981120,526188544
203,1784022485661,4056,4056,4056,4056,4056,4056,4056,4056,46.74559020996094,46.759010314941406,46.91851043701172,47.07307434082031,46.770355224609375,47.07463836669922,46.761695861816406,47.398216247558594,47.042694091796875,47.05938720703125,47.23536682128906,47.331336975097656,46.55119323730469,47.07599639892578,23.809524536132813,19.047618865966797,5.263157844543457,10,9.523809432983398,15.789472579956055,4.761904716491699,0,3.1760566234588623,8589934592,2147483648,6290587648,526188544
203,1784022485865,4056,4056,4056,4056,4056,4056,4056,4056,46.61357879638672,46.683860778808594,46.834617614746094,47.055938720703125,46.699974060058594,47.045074462890625,46.54634094238281,47.228248596191406,46.90990447998047,47.013160705566406,47.18955993652344,47.284942626953125,46.465171813964844,46.98332977294922,25,15.000000953674316,14.285715103149414,9.523809432983398,0,0,0,0,3.1760566234588623,8589934592,2147483648,6295126016,526188544
204,1784022486070,4056,4056,4056,4056,4056,4056,4056,4056,46.61357879638672,46.683860778808594,46.834617614746094,47.055938720703125,46.699974060058594,47.045074462890625,46.54634094238281,47.228248596191406,46.90990447998047,47.013160705566406,47.18955993652344,47.284942626953125,46.465171813964844,46.98332977294922,23.809524536132813,20,15.000000953674316,14.285715103149414,0,0,0,0,3.1760566234588623,8589934592,2147483648,6295126016,526188544
200,1784022486275,4056,4056,4056,4056,4056,4056,4056,4056,46.61357879638672,46.683860778808594,46.834617614746094,47.055938720703125,46.699974060058594,47.045074462890625,46.54634094238281,47.228248596191406,46.90990447998047,47.013160705566406,47.18955993652344,47.284942626953125,46.465171813964844,46.98332977294922,25,15.789472579956055,14.285715103149414,0,0,0,0,0,3.271855115890503,8589934592,2147483648,6295126016,526188544
204,1784022486476,4056,4056,4056,4056,4056,4056,4056,4056,46.61357879638672,46.683860778808594,46.834617614746094,47.055938720703125,46.699974060058594,47.045074462890625,46.54634094238281,47.228248596191406,46.90990447998047,47.013160705566406,47.18955993652344,47.284942626953125,46.465171813964844,46.98332977294922,57.894737243652344,42.85714340209961,25,25,4.761904716491699,0,0,0,3.271855115890503,8589934592,2147483648,6304071680,526188544
202,1784022486681,4056,4056,4056,4056,4056,4056,4056,4056,46.61357879638672,46.683860778808594,46.834617614746094,47.055938720703125,46.699974060058594,47.045074462890625,46.54634094238281,47.228248596191406,46.90990447998047,47.013160705566406,47.18955993652344,47.284942626953125,46.465171813964844,46.98332977294922,55,33.333335876464844,10.526315689086914,14.285715103149414,0,0,0,0,3.271855115890503,8589934592,2147483648,6308511744,526188544
