Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784037890107,4056,4056,4056,4056,4056,4056,4056,4056,63.241920471191406,63.40282440185547,63.605751037597656,64.26461791992188,63.70336151123047,64.1359634399414,63.944984436035156,64.16814422607422,63.59442138671875,63.92961883544922,64.01053619384766,63.740013122558594,64.34563446044922,64.47242736816406,0,0,0,0,50,0,0,0,10.63985538482666,8589934592,2147483648,5758550016,554106880
204,1784037890107,4056,4056,4056,4056,4056,4056,4056,4056,63.241920471191406,63.40282440185547,63.605751037597656,64.26461791992188,63.70336151123047,64.1359634399414,63.944984436035156,64.16814422607422,63.59442138671875,63.92961883544922,64.01053619384766,63.740013122558594,64.34563446044922,64.47242736816406,0,0,0,50,0,0,50,0,10.63985538482666,8589934592,2147483648,5759385600,554106880
204,1784037890312,4056,4056,4056,4056,4056,4056,4056,4056,63.241920471191406,63.40282440185547,63.605751037597656,64.26461791992188,63.70336151123047,64.1359634399414,63.944984436035156,64.16814422607422,63.59442138671875,63.92961883544922,64.01053619384766,63.740013122558594,64.34563446044922,64.47242736816406,35,25,14.285715103149414,10,28.571430206298828,25,20,25,10.63985538482666,8589934592,2147483648,5758500864,554106880
201,1784037890517,4056,4056,4056,4056,4056,4056,4056,4056,63.241920471191406,63.40282440185547,63.605751037597656,64.26461791992188,63.70336151123047,64.1359634399414,63.944984436035156,64.16814422607422,63.59442138671875,63.92961883544922,64.01053619384766,63.740013122558594,64.34563446044922,64.47242736816406,45,10,5,4.761904716491699,26.3157901763916,28.571430206298828,25,30.000001907348633,10.877266883850098,8589934592,2147483648,5730369536,554106880
203,1784037890719,4056,4056,4056,4056,4056,4056,4056,4056,63.241920471191406,63.40282440185547,63.605751037597656,64.26461791992188,63.70336151123047,64.1359634399414,63.944984436035156,64.16814422607422,63.59442138671875,63.92961883544922,64.01053619384766,63.740013122558594,64.34563446044922,64.47242736816406,35,30.000001907348633,15.000000953674316,0,40,30.000001907348633,35,36.3636360168457,10.877266883850098,8589934592,2147483648,5730369536,554106880
201,1784037890923,4056,4056,4056,4056,4056,4056,4056,4056,63.746299743652344,63.91615295410156,64.10026550292969,64.83403778076172,64.15262603759766,64.69573211669922,64.55127716064453,64.78604125976563,64.12747955322266,64.49321746826172,64.57334899902344,64.18641662597656,64.84449768066406,64.96823120117188,23.809524536132813,19.047618865966797,10,14.285715103149414,31.81818199157715,25,25,21.052631378173828,10.877266883850098,8589934592,2147483648,5735137280,554106880
199,1784037891125,4056,4056,4056,4056,4056,4056,4056,4056,63.746299743652344,63.91615295410156,64.10026550292969,64.83403778076172,64.15262603759766,64.69573211669922,64.55127716064453,64.78604125976563,64.12747955322266,64.49321746826172,64.57334899902344,64.18641662597656,64.84449768066406,64.96823120117188,21.052631378173828,20,9.523809432983398,5,20,28.571430206298828,23.809524536132813,23.809524536132813,10.877266883850098,8589934592,2147483648,5736284160,554106880
202,1784037891325,4056,4056,4056,4056,4056,4056,4056,4056,63.746299743652344,63.91615295410156,64.10026550292969,64.83403778076172,64.15262603759766,64.69573211669922,64.55127716064453,64.78604125976563,64.12747955322266,64.49321746826172,64.57334899902344,64.18641662597656,64.84449768066406,64.96823120117188,35,35,5.263157844543457,0,31.57894515991211,25,20,21.052631378173828,12.004964828491211,8589934592,2147483648,5736284160,554106880
204,1784037891528,4056,4056,4056,4056,4056,4056,4056,4056,63.746299743652344,63.91615295410156,64.10026550292969,64.83403778076172,64.15262603759766,64.69573211669922,64.55127716064453,64.78604125976563,64.12747955322266,64.49321746826172,64.57334899902344,64.18641662597656,64.84449768066406,64.96823120117188,38.095237731933594,15.000000953674316,9.523809432983398,9.090909004211426,23.809524536132813,21.052631378173828,25,28.571430206298828,12.004964828491211,8589934592,2147483648,5736284160,554106880
204,1784037891733,4056,4056,4056,4056,4056,4056,4056,4056,63.746299743652344,63.91615295410156,64.10026550292969,64.83403778076172,64.15262603759766,64.69573211669922,64.55127716064453,64.78604125976563,64.12747955322266,64.49321746826172,64.57334899902344,64.18641662597656,64.84449768066406,64.96823120117188,36.842105865478516,10.526315689086914,0,0,28.571430206298828,28.571430206298828,25,20,12.004964828491211,8589934592,2147483648,5736284160,554106880
