Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784032270134,4056,4056,4056,4056,4056,4056,4056,4056,54.85969543457031,54.62809753417969,54.509056091308594,54.87843322753906,54.40718078613281,54.70482635498047,54.71437072753906,54.797767639160156,54.61332702636719,54.54402160644531,54.74828338623047,54.914794921875,54.286949157714844,54.81694793701172,50,50,50,50,0,0,0,0,3.60026216506958,8589934592,2147483648,5903171584,716701696
204,1784032270134,4056,4056,4056,4056,4056,4056,4056,4056,54.85969543457031,54.62809753417969,54.509056091308594,54.87843322753906,54.40718078613281,54.70482635498047,54.71437072753906,54.797767639160156,54.61332702636719,54.54402160644531,54.74828338623047,54.914794921875,54.286949157714844,54.81694793701172,100,100,50,50,0,0,0,0,3.60026216506958,8589934592,2147483648,5903990784,716701696
203,1784032270339,4056,4056,4056,4056,4056,4056,4056,4056,54.85969543457031,54.62809753417969,54.509056091308594,54.87843322753906,54.40718078613281,54.70482635498047,54.71437072753906,54.797767639160156,54.61332702636719,54.54402160644531,54.74828338623047,54.914794921875,54.286949157714844,54.81694793701172,47.619049072265625,40,30.000001907348633,20,4.761904716491699,4.761904716491699,0,0,3.5660815238952637,8589934592,2147483648,5903990784,716701696
199,1784032270544,4056,4056,4056,4056,4056,4056,4056,4056,54.85969543457031,54.62809753417969,54.509056091308594,54.87843322753906,54.40718078613281,54.70482635498047,54.71437072753906,54.797767639160156,54.61332702636719,54.54402160644531,54.74828338623047,54.914794921875,54.286949157714844,54.81694793701172,45,35,28.571430206298828,20,0,0,0,0,3.5660815238952637,8589934592,2147483648,5903990784,716701696
204,1784032270743,4056,4056,4056,4056,4056,4056,4056,4056,54.85969543457031,54.62809753417969,54.509056091308594,54.87843322753906,54.40718078613281,54.70482635498047,54.71437072753906,54.797767639160156,54.61332702636719,54.54402160644531,54.74828338623047,54.914794921875,54.286949157714844,54.81694793701172,68.42105102539063,60.000003814697266,52.6315803527832,50,21.052631378173828,20,30.000001907348633,10.526315689086914,3.5660815238952637,8589934592,2147483648,6000672768,716701696
204,1784032270949,4056,4056,4056,4056,4056,4056,4056,4056,55.280357360839844,55.125694274902344,54.94776916503906,55.130096435546875,54.77252960205078,54.98442840576172,55.191253662109375,55.330970764160156,55.10218811035156,55.068809509277344,55.23182678222656,55.33026123046875,54.739532470703125,55.197853088378906,38.095237731933594,23.809524536132813,14.285715103149414,10,4.761904716491699,0,0,0,3.5660815238952637,8589934592,2147483648,5992071168,716701696
201,1784032271154,4056,4056,4056,4056,4056,4056,4056,4056,55.280357360839844,55.125694274902344,54.94776916503906,55.130096435546875,54.77252960205078,54.98442840576172,55.191253662109375,55.330970764160156,55.10218811035156,55.068809509277344,55.23182678222656,55.33026123046875,54.739532470703125,55.197853088378906,26.3157901763916,26.3157901763916,20,10,0,0,0,0,3.5660815238952637,8589934592,2147483648,5992202240,716701696
200,1784032271356,4056,4056,4056,4056,4056,4056,4056,4056,55.280357360839844,55.125694274902344,54.94776916503906,55.130096435546875,54.77252960205078,54.98442840576172,55.191253662109375,55.330970764160156,55.10218811035156,55.068809509277344,55.23182678222656,55.33026123046875,54.739532470703125,55.197853088378906,40,25,20,15.000000953674316,30.000001907348633,21.052631378173828,10,15.000000953674316,4.523098468780518,8589934592,2147483648,6039502848,716701696
200,1784032271557,4056,4056,4056,4056,4056,4056,4056,4056,55.280357360839844,55.125694274902344,54.94776916503906,55.130096435546875,54.77252960205078,54.98442840576172,55.191253662109375,55.330970764160156,55.10218811035156,55.068809509277344,55.23182678222656,55.33026123046875,54.739532470703125,55.197853088378906,20,20,10,5,0,0,100,0,4.523098468780518,8589934592,2147483648,6039535616,716701696
204,1784032271758,4056,4056,4056,4056,4056,4056,4056,4056,55.280357360839844,55.125694274902344,54.94776916503906,55.130096435546875,54.77252960205078,54.98442840576172,55.191253662109375,55.330970764160156,55.10218811035156,55.068809509277344,55.23182678222656,55.33026123046875,54.739532470703125,55.197853088378906,26.3157901763916,33.333335876464844,20,20,14.285715103149414,28.571430206298828,65,0,4.523098468780518,8589934592,2147483648,6045155328,716701696
