Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784025774125,4056,4056,4056,4056,4056,4056,4056,4056,67.57696533203125,68.02217102050781,68.15252685546875,68.83692169189453,67.83167266845703,68.71188354492188,68.61927032470703,68.84980010986328,68.02228546142578,68.86874389648438,68.98066711425781,68.11329650878906,69.00483703613281,69.19654846191406,100,0,0,0,0,0,33.333335876464844,0,11.117955207824707,8589934592,2147483648,5879971840,526188544
201,1784025774125,4056,4056,4056,4056,4056,4056,4056,4056,67.57696533203125,68.02217102050781,68.15252685546875,68.83692169189453,67.83167266845703,68.71188354492188,68.61927032470703,68.84980010986328,68.02228546142578,68.86874389648438,68.98066711425781,68.11329650878906,69.00483703613281,69.19654846191406,0,50,0,NaN,50,50,0,0,11.117955207824707,8589934592,2147483648,5886181376,526188544
204,1784025774327,4056,4056,4056,4056,4056,4056,4056,4056,67.57696533203125,68.02217102050781,68.15252685546875,68.83692169189453,67.83167266845703,68.71188354492188,68.61927032470703,68.84980010986328,68.02228546142578,68.86874389648438,68.98066711425781,68.11329650878906,69.00483703613281,69.19654846191406,35,36.842105865478516,14.285715103149414,9.523809432983398,45,45,42.105262756347656,45,11.395349502563477,8589934592,2147483648,5886853120,526188544
200,1784025774532,4056,4056,4056,4056,4056,4056,4056,4056,67.57696533203125,68.02217102050781,68.15252685546875,68.83692169189453,67.83167266845703,68.71188354492188,68.61927032470703,68.84980010986328,68.02228546142578,68.86874389648438,68.98066711425781,68.11329650878906,69.00483703613281,69.19654846191406,30.000001907348633,33.333335876464844,5,9.523809432983398,42.85714340209961,40,42.85714340209961,38.095237731933594,11.395349502563477,8589934592,2147483648,5891440640,526188544
203,1784025774733,4056,4056,4056,4056,4056,4056,4056,4056,67.57696533203125,68.02217102050781,68.15252685546875,68.83692169189453,67.83167266845703,68.71188354492188,68.61927032470703,68.84980010986328,68.02228546142578,68.86874389648438,68.98066711425781,68.11329650878906,69.00483703613281,69.19654846191406,30.000001907348633,25,5.263157844543457,0,36.842105865478516,42.85714340209961,40,40,11.395349502563477,8589934592,2147483648,5892276224,526188544
203,1784025774937,4056,4056,4056,4056,4056,4056,4056,4056,67.41622161865234,67.77863311767578,67.8492202758789,68.60818481445313,67.61869812011719,68.46263122558594,68.37885284423828,68.60162353515625,67.81047058105469,68.5749282836914,68.66767883300781,67.89168548583984,68.68321228027344,68.83514404296875,30.000001907348633,30.000001907348633,14.285715103149414,9.090909004211426,47.619049072265625,42.85714340209961,38.095237731933594,38.095237731933594,11.395349502563477,8589934592,2147483648,5862752256,526188544
200,1784025775141,4056,4056,4056,4056,4056,4056,4056,4056,67.41622161865234,67.77863311767578,67.8492202758789,68.60818481445313,67.61869812011719,68.46263122558594,68.37885284423828,68.60162353515625,67.81047058105469,68.5749282836914,68.66767883300781,67.89168548583984,68.68321228027344,68.83514404296875,40,28.571430206298828,20,5,55,52.6315803527832,57.894737243652344,52.6315803527832,11.395349502563477,8589934592,2147483648,5876514816,526188544
201,1784025775342,4056,4056,4056,4056,4056,4056,4056,4056,67.41622161865234,67.77863311767578,67.8492202758789,68.60818481445313,67.61869812011719,68.46263122558594,68.37885284423828,68.60162353515625,67.81047058105469,68.5749282836914,68.66767883300781,67.89168548583984,68.68321228027344,68.83514404296875,50,26.3157901763916,20,10.526315689086914,80,76.19047546386719,76.19047546386719,76.19047546386719,12.042423248291016,8589934592,2147483648,5903368192,526188544
200,1784025775544,4056,4056,4056,4056,4056,4056,4056,4056,67.41622161865234,67.77863311767578,67.8492202758789,68.60818481445313,67.61869812011719,68.46263122558594,68.37885284423828,68.60162353515625,67.81047058105469,68.5749282836914,68.66767883300781,67.89168548583984,68.68321228027344,68.83514404296875,52.38095474243164,45,30.000001907348633,28.571430206298828,40,40,40,35,12.042423248291016,8589934592,2147483648,5929779200,526188544
201,1784025775746,4056,4056,4056,4056,4056,4056,4056,4056,68.12886047363281,67.77863311767578,67.8492202758789,68.60818481445313,67.61869812011719,68.46263122558594,69.36622619628906,69.6231460571289,68.64132690429688,69.36478424072266,69.44699096679688,68.5385513305664,69.57563018798828,68.83514404296875,42.105262756347656,26.3157901763916,20,10.526315689086914,50,45,40,40,12.042423248291016,8589934592,2147483648,5933006848,526188544
